,url,name,address,provider,MW_total_power,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,number,street,municipality,state,latitude,longitude
1670,https://datacenters.com/wowrack-downtown-seattle,WowRack: Downtown Seattle Data Center,"2001 6th Avenue, Seattle, WA, USA",WowRack,19.5,11.2,60000.0,,2001,6th Avenue,Seattle,WA,47.614354750000004,-122.33886370511684
1671,https://datacenters.com/365-tx2-dallas,365 Data Centers: TX2 Dallas Data Center,"2323 Bryan Street, Dallas, TX, USA",365 Data Centers,,5.03,,,2323,Bryan Street,Dallas,TX,32.78697608163265,-96.79400534693877
1672,https://datacenters.com/365-ch2-chicago,365 Data Centers: CH2 Chicago Data Center,"350 East Cermak Road, Chicago, IL, USA",365 Data Centers,,8.29,,,350,East Cermak Road,Chicago,IL,41.85375365,-87.6183797609595
1673,https://datacenters.com/inap-los-angeles-2,INAP: Los Angeles 2 Data Center,"2260 East El Segundo Boulevard, El Segundo, CA, USA",INAP,5.3,1.9,80000.0,80000.0,2260,East El Segundo Boulevard,El Segundo,CA,33.915514,-118.384618492729
1674,https://datacenters.com/mod-mission-critical-snd2-lightedge-san-diego-pop,MOD Mission Critical: SND2 - Lightedge San Diego Data Center PoP,"9305 Lightwave Avenue, San Diego, CA, USA",MOD Mission Critical,2.9,7.46,56342.0,100000.0,9305,Lightwave Avenue,San Diego,CA,32.827858649999996,-117.12992659595538
1675,https://datacenters.com/netshop-isp-nswas01-washington-dc,Netshop ISP: NSWAS01 Washington DC Data Center,"Washington D.C., DC, USA",Netshop ISP,,3.73,,,,Washington D.C.,DC,,38.8950368,-77.0365427
1677,https://datacenters.com/ibm-cloud-dal07-dallas-tx,"IBM Cloud: DAL07 Dallas, TX","1700 Summit Ave, Plano, Texas 75074, USA",IBM Cloud,,14.7,,,1700,Summit Ave,Plano,Texas,33.009325477164744,-96.68919295636317
1678,https://datacenters.com/quest-technology-management-quest-ashburn,Quest Technology Management: Quest Ashburn Data Center,"21715 Filigree Ct, Ashburn, VA 20147, USA",Quest Technology Management,,4.43,,,21715,Filigree Ct,Ashburn,VA,39.0163313,-77.45876232933266
1679,https://datacenters.com/ibm-cloud-dal04-dallas-tx,"IBM Cloud: DAL04 Dallas, TX","400 South Akard Street, Dallas, Texas 75202, USA",IBM Cloud,,5.37,,,400,South Akard Street,Dallas,Texas,32.778320550000004,-96.7985002392905
1680,https://datacenters.com/pointone-nap-of-virginia-beach,PointOne: Nap Of Virginia Beach,"1893 Corporate Landing Pkwy, Virginia Beach, VA, USA",PointOne,30.0,2.57,,,1893,Corporate Landing Pkwy,Virginia Beach,VA,36.784946,-76.009095
1681,https://datacenters.com/enzu-sjc1-santa-clara,Enzu: SJC1 Santa Clara Data Center,"2151 Mission College Boulevard, Santa Clara, CA, USA",Enzu,,2.49,,,2151,Mission College Boulevard,Santa Clara,CA,37.38858276926831,-121.96269568148674
1682,https://datacenters.com/mod-mission-critical-px3-flexential-phoenix-pop,MOD Mission Critical: PX3 - Flexential Phoenix Data Center PoP,"1850 W Deer Valley Rd, Phoenix, AZ, USA",MOD Mission Critical,5.02,18.02,42500.0,109476.0,1850,W Deer Valley Rd,Phoenix,AZ,33.6845177,-112.09833977156488
