,Unnamed: 0.1,Unnamed: 0,url,statistics,address,transformed_address,cep
114,114.0,,https://www.datacentermap.com/brazil/campinas/ascenty-vin02/specs/,"['34 MW', '24,991 sq.m.']","Ascenty Data CentersAv. 2, 50, Quadra G1, Distrito Industrial Benedito StoraniBldg 213288-162VinhedoBrazil","Ascenty Data Centers Av. 2, 50, Quadra G1, Distrito Industrial Benedito Storani Bldg 2 13288-162 Vinhedo Brazil",13288-162
115,115.0,,https://www.datacentermap.com/brazil/campinas/ascenty-sum04/specs/,['19 MW'],"Ascenty Data CentersRodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 413177-435SumaréBrazil","Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 4 13177-435 SumaréBrazil",13177-435
116,116.0,,https://www.datacentermap.com/brazil/campinas/ascenty-sum03/specs/,['19 MW'],"Ascenty Data CentersRodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 313177-435SumaréBrazil","Ascenty Data Centers Rodovia Anhanguera s/n, Parque das Industrias (Nova Veneza)Bldg 3 13177-435 SumaréBrazil",13177-435
117,117.0,,https://www.datacentermap.com/brazil/campinas/cloudhq-gru-campus/specs/,['288 MW'],CloudHQParque das Indústrias13140-0000PaulíniaBrazil,Cloud HQParque das Indústrias13140-0000 Paulínia Brazil,13140-000
118,118.0,,https://www.datacentermap.com/brazil/campinas/ascenty-hortolandia-htl6/specs/,"['30 MW', '22,984 sq.m.']",Ascenty Data CentersRua Papa João Paulo IIBuilding 613185-252HortolândiaBrazil,Ascenty Data Centers Rua Papa João Paulo IIBuilding 6 13185-252 Hortolândia Brazil,13185-252
119,119.0,,https://www.datacentermap.com/brazil/campinas/edge-connection--cps01/specs/,[],"Edge ConnectionRua Angelo Sellin, 401Terreo13098422CampinasSao Paulo,Brazil","Edge Connection Rua Angelo Sellin, 401 Terreo13098422 Campinas Sao Paulo,Brazil",13098422
120,120.0,,https://www.datacentermap.com/brazil/campinas/cloudhq-gru3/specs/,"['48 MW', '18,055 sq.m.']",CloudHQParque das Indústrias13140-0000PaulíniaBrazil,Cloud HQParque das Indústrias13140-0000 Paulínia Brazil,13140-000
121,121.0,,https://www.datacentermap.com/brazil/campinas/cloudhq-gru2/specs/,"['48 MW', '18,055 sq.m.']",CloudHQParque das Indústrias13140-0000PaulíniaBrazil,Cloud HQParque das Indústrias13140-0000 Paulínia Brazil,13140-000
122,122.0,,https://www.datacentermap.com/brazil/campinas/cloudhq-gru1/specs/,"['48 MW', '18,055 sq.m.']",CloudHQParque das Indústrias13140-0000PaulíniaBrazil,Cloud HQParque das Indústrias13140-0000 Paulínia Brazil,13140-000
123,123.0,,https://www.datacentermap.com/brazil/campinas/scala-svcpcp01/specs/,['4 MW'],"Scala Data CentersR. Guido de Camargo Penteado Sobrinho 368513082CampinasSao Paulo,Brazil","Scala Data Centers R. Guido de Camargo Penteado Sobrinho 3 68513082 Campinas Sao Paulo,Brazil",68513082
