,url,address,cep,MW,sq.m,Est,sq.f,latitude,longitude
61,https://www.datacentermap.com/brazil/sao-paulo/b3-data-center/specs/,"B3 S.A. – Brasil, Bolsa, Balcão R. Ricardo Prudente de Aquino, 85 - Res. Tambore III06543-004 Santana de Parnaiba Brazil",06543-004,,,,,-23.466598157441,-46.865243532649
62,https://www.datacentermap.com/brazil/sao-paulo/rpodc/specs/,"Insidesign Tecnologia Ltda EPPAv. Saudade, 1210 - Campos Elísios Sala 325 14085-010 Ribeirao Preto Sao Paulo,Brazil",14085-010,,,,,-21.162157320027,-47.801196774375
63,https://www.datacentermap.com/brazil/sao-paulo/microsoft-taquara-branca/specs/,"Microsoft Estr. Mun. Pedrina Guilherme, 1995 - Jardim Res. Firenze13189-217 Hortolândia Brazil",13189-217,,,,,-22.876759925754,-47.246140683912
64,https://www.datacentermap.com/brazil/sao-paulo/equinix-sp6/specs/,"Equinix Av. Cid Viêira da Souza, 460-48406544 Santana de Parnaíba Brazil",48406544,,,,,-23.457597524572,-46.851760823569
65,https://www.datacentermap.com/brazil/sao-paulo/microsoft-sao-paulo/specs/,"Microsoft Rua Santa Teresa, 64 01016-020 Sao Paulo Brazil",01016-020,,,,,-23.550029942349,-46.633017536152
66,https://www.datacentermap.com/brazil/sao-paulo/datacenter-locaweb-jk/specs/,"Locaweb S/AAv. Presidente Juscelino Kubitscheck, 1830 1º Andar04543-900 São Paulo São Paulo,Brazil",04543-900,,,,,-23.590635398212,-46.686619988962
67,https://www.datacentermap.com/brazil/sao-paulo/kyndryl-dc-hortolandia/specs/,"Kyndryl Rodovia Jornalista Francisco Aguirre Proença, Km 09 - S/N13186-900 Hortolândia Brazil",13186-900,,,,,-22.904561927634,-47.222677969419
68,https://www.datacentermap.com/brazil/sao-paulo/cdznet-data-center/specs/,"cdznet data center R. Independência, 2472 15025-095 Sao Jose do Rio Preto SP,Brazil",15025-095,,,,,-20.811840119218,-49.388589928573
69,https://www.datacentermap.com/brazil/sao-paulo/aligned-sp-03/specs/,"Aligned Data Centers Alameda Araguacema, 187 06460-070 Tamboré, Barueri Brazil",06460-070,,"1,800",,,-23.501903363884,-46.82462481856
70,https://www.datacentermap.com/brazil/rio-de-janeiro/av-cel-phidias-távora-513-2/specs/,"Ascenty Data Centers Avenida Coronel Phidias Tavora, 513 Building 2 21535-510 Rio de Janeiro Brazil",21535-510,3,"3,493",2021,,-22.807050120461,-43.339618092095
71,https://www.datacentermap.com/brazil/rio-de-janeiro/scala-data-centers-sgigsm03/specs/,"Scala Data Centerswithinnear Rod. Pres. Dutra 4300, Scala's Sao Joao de Meriti Campus25565 Sao Joao de Meriti Brazil The exact location of this data center is not public,but it is located withinnear Rod. Pres. Dutra 4300, Scala's Sao Joao de Meriti Campus",,,,,,-22.798359511792,-43.356362200974
72,https://www.datacentermap.com/brazil/rio-de-janeiro/scala-data-centers-sgigsm02/specs/,"Scala Data Centerswithinnear Rod. Pres. Dutra 4300, Scala's Sao Joao de Meriti Campus25565 Sao Joao de Meriti Brazil The exact location of this data center is not public,but it is located withinnear Rod. Pres. Dutra 4300, Scala's Sao Joao de Meriti Campus",,,,,,-22.798359511792,-43.356362200974
73,https://www.datacentermap.com/brazil/rio-de-janeiro/gblx-rio/specs/,Cirion Av. Dom Pedro II 32920910 Rio de Janeiro Brazil,32920910,,"5,112",,,-22.320613846552,-43.402091385694
74,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj1/specs/,"Equinix Rua Voluntarios da Patria, 360, Botafogo22270-010 Rio de Janeiro Rio de Janeiro,Brazil",22270-010,,"1,400",,,-22.954878100639,-43.194557020066
75,https://www.datacentermap.com/brazil/rio-de-janeiro/hexam2/specs/,"HEXAM2 Rua Ceara, 356 20270-160 Rio de Janeiro RJ,Brazil",20270-160,,,2013,,-22.908020293443,-43.217693028096
76,https://www.datacentermap.com/brazil/rio-de-janeiro/gvt-rio-de-janeiro/specs/,"Vivo Rua Sara, 36 20220-090 Rio de Janeiro Rio de Janeiro,Brazil",20220-090,,200,2011,,-22.901501428756,-43.203965203466
77,https://www.datacentermap.com/brazil/rio-de-janeiro/equinix-rj2/specs/,"Equinix Estrada Adhemar Bebiano, 1380, Del Castilho21051-070 Rio de Janeiro Rio de Janeiro,Brazil",21051-070,,"2,850",,,-22.871293804083,-43.272123068232
